#t[s] #S1[m] #S2[m]
0.01 137.56 61.95
0.02 137.84 63.41
0.03 138.27 65.03
0.04 138.89 66.84
0.05 139.36 68.56
0.06 139.71 70.09
0.07 140.48 72.03
0.08 140.97 73.71
0.09 141.66 75.61
0.1 142.53 77.70
0.11 143.14 79.83
0.12 143.70 81.74
0.13 144.66 83.58
0.14 145.28 85.56
0.15 146.16 87.35
0.16 147.05 89.61
0.17 147.85 91.54
0.18 148.73 93.66
0.19 149.43 95.61
0.2 150.47 97.61
0.21 151.47 99.83
0.22 152.19 101.84
0.23 153.28 103.83
0.24 154.40 106.02
0.25 155.40 108.09
0.26 156.39 110.02
0.27 157.58 112.29
0.28 158.69 114.40
0.29 159.91 116.48
0.3 161.01 118.41
0.31 162.26 120.60
0.32 163.37 122.71
0.33 164.58 124.61
0.34 165.84 126.78
0.35 166.88 128.93
0.36 168.29 130.91
0.37 169.52 132.93
0.38 170.63 134.80
0.39 171.93 136.96
0.4 173.44 138.93
0.41 174.49 140.85
0.42 175.99 142.95
0.43 177.27 145.07
0.44 178.51 146.95
0.45 179.79 149.00
0.46 181.11 150.77
0.47 182.67 152.55
0.48 183.64 154.50
0.49 185.25 156.37
0.5 186.45 158.22
0.51 188.02 160.02
0.52 189.10 161.95
0.53 190.40 163.68
0.54 191.59 165.40
0.55 192.94 167.10
0.56 194.34 168.92
0.57 195.67 170.48
0.58 196.96 172.25
0.59 198.21 173.88
0.6 199.69 175.56
0.61 200.91 177.07
0.62 202.00 178.66
0.63 203.36 179.93
0.64 204.59 181.63
0.65 205.99 183.10
0.66 207.27 184.59
0.67 208.44 185.75
0.68 209.38 187.45
0.69 210.53 188.82
0.7 211.62 189.97
0.71 212.84 191.29
0.72 213.94 192.50
0.73 214.99 193.62
0.74 216.19 194.86
0.75 217.21 195.97
0.76 218.31 197.12
0.77 219.25 198.13
0.78 220.27 199.30
0.79 221.37 200.18
0.8 222.12 201.13
0.81 223.28 202.21
0.82 224.13 202.85
0.83 225.09 204.00
0.84 225.87 204.86
0.85 226.78 205.42
0.86 227.61 206.24
0.87 228.35 206.82
0.88 229.35 207.56
0.89 230.11 208.12
0.9 230.71 208.99
0.91 231.41 209.31
0.92 232.08 210.10
0.93 232.86 210.31
0.94 233.57 210.89
0.95 234.07 211.15
0.96 234.71 211.41
0.97 235.14 211.91
0.98 235.55 212.19
0.99 236.32 212.15
1 236.77 212.64
1.01 237.20 212.63
1.02 237.74 212.91
1.03 238.04 212.92
1.04 238.66 213.01
1.05 238.91 213.05
1.06 239.43 213.00
1.07 239.56 212.79
1.08 240.18 212.92
1.09 240.24 212.63
1.1 240.59 212.47
1.11 240.92 212.13
1.12 241.06 211.88
1.13 241.01 211.58
1.14 241.54 211.20
1.15 241.51 210.76
1.16 241.62 210.47
1.17 241.82 209.87
1.18 241.95 209.59
1.19 242.06 209.02
1.2 241.90 208.39
1.21 241.88 207.96
1.22 242.00 207.09
1.23 241.89 206.44
1.24 241.99 205.78
1.25 241.90 205.11
1.26 241.99 204.44
1.27 241.79 203.62
1.28 241.50 202.72
1.29 241.53 201.76
1.3 241.78 200.95
1.31 241.18 200.08
1.32 241.21 198.95
1.33 241.02 198.06
1.34 240.87 196.92
1.35 240.72 195.94
1.36 240.43 194.86
1.37 240.31 193.83
1.38 240.03 192.65
1.39 239.78 191.38
1.4 239.47 190.24
1.41 239.13 189.15
1.42 239.00 187.78
1.43 238.64 186.43
1.44 238.28 185.31
1.45 237.92 183.90
1.46 237.90 182.69
1.47 237.65 181.18
1.48 237.16 179.83
1.49 236.85 178.41
1.5 236.52 177.05
1.51 236.23 175.60
1.52 236.05 174.15
1.53 235.60 172.58
1.54 235.27 171.09
1.55 234.88 169.63
1.56 234.65 168.17
1.57 234.29 166.65
1.58 233.96 164.88
1.59 233.69 163.56
1.6 233.45 161.80
1.61 233.13 160.30
1.62 232.80 158.62
1.63 232.36 157.15
1.64 232.06 155.63
1.65 231.81 153.63
1.66 231.34 152.23
1.67 231.24 150.49
1.68 230.95 149.03
1.69 230.79 147.11
1.7 230.28 145.53
1.71 229.90 143.82
1.72 229.75 142.21
1.73 229.69 140.44
1.74 229.46 138.69
1.75 229.09 137.02
1.76 228.93 135.72
1.77 228.49 133.96
